,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
1,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
2,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
3,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
4,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
5,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
6,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
7,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63,77.63
8,77.63,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63,77.63
9,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63
10,77.63,77.63,77.63,77.63,77.63,77.63,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,77.63,77.63,77.63,77.63,77.63,77.63
